t;x;x_d;x_dd;x_ddd;x_dddd;F
3.180000;6.114648;5.385114;2.848749;0.402407;-0.230868;3.851971
3.190000;6.168642;5.413621;2.852762;0.400102;-0.230080;3.840433
3.200000;6.222920;5.442169;2.856751;0.397805;-0.229295;3.828929
3.210000;6.277485;5.470756;2.860718;0.395516;-0.228512;3.817459
3.220000;6.332336;5.499383;2.864662;0.393235;-0.227731;3.806024
3.230000;6.387473;5.528049;2.868583;0.390961;-0.226953;3.794623
3.240000;6.442897;5.556755;2.872481;0.388696;-0.226178;3.783256
3.250000;6.498608;5.585499;2.876357;0.386438;-0.225404;3.771924
3.260000;6.554607;5.614282;2.880210;0.384188;-0.224633;3.760625
3.270000;6.610894;5.643103;2.884041;0.381945;-0.223865;3.749360
3.280000;6.667469;5.671962;2.887849;0.379710;-0.223099;3.738129
3.290000;6.724333;5.700860;2.891635;0.377483;-0.222335;3.726931
3.300000;6.781486;5.729795;2.895398;0.375264;-0.221573;3.715767
3.310000;6.838929;5.758768;2.899140;0.373052;-0.220814;3.704636
3.320000;6.896662;5.787778;2.902860;0.370847;-0.220058;3.693539
3.330000;6.954685;5.816825;2.906557;0.368651;-0.219303;3.682475
3.340000;7.012999;5.845909;2.910233;0.366461;-0.218551;3.671444
3.350000;7.071603;5.875029;2.913886;0.364280;-0.217802;3.660446
3.360000;7.130499;5.904187;2.917518;0.362105;-0.217054;3.649481
3.370000;7.189687;5.933380;2.921128;0.359938;-0.216309;3.638549
3.380000;7.249167;5.962609;2.924717;0.357779;-0.215567;3.627650
3.390000;7.308939;5.991874;2.928284;0.355627;-0.214826;3.616783
3.400000;7.369005;6.021175;2.931830;0.353483;-0.214088;3.605949
3.410000;7.429363;6.050511;2.935354;0.351345;-0.213352;3.595148
3.420000;7.490015;6.079882;2.938857;0.349216;-0.212619;3.584378
3.430000;7.550961;6.109288;2.942338;0.347093;-0.211888;3.573641
3.440000;7.612201;6.138728;2.945798;0.344978;-0.211159;3.562937
3.450000;7.673735;6.168204;2.949238;0.342870;-0.210432;3.552264
3.460000;7.735565;6.197713;2.952656;0.340769;-0.209708;3.541623
3.470000;7.797690;6.227257;2.956053;0.338676;-0.208985;3.531014
3.480000;7.860110;6.256834;2.959429;0.336589;-0.208265;3.520437
3.490000;7.922827;6.286445;2.962785;0.334510;-0.207548;3.509891
3.500000;7.985839;6.316090;2.966120;0.332438;-0.206832;3.499377
3.510000;8.049148;6.345767;2.969434;0.330374;-0.206119;3.488895
3.520000;8.112755;6.375478;2.972727;0.328316;-0.205408;3.478444
3.530000;8.176658;6.405222;2.976000;0.326265;-0.204699;3.468024
3.540000;8.240859;6.434998;2.979252;0.324222;-0.203993;3.457636
3.550000;8.305358;6.464807;2.982484;0.322186;-0.203288;3.447279
3.560000;8.370155;6.494648;2.985696;0.320156;-0.202586;3.436952
3.570000;8.435251;6.524521;2.988888;0.318134;-0.201886;3.426657
3.580000;8.500646;6.554425;2.992059;0.316119;-0.201188;3.416392
3.590000;8.566340;6.584362;2.995210;0.314110;-0.200493;3.406158
3.600000;8.632333;6.614330;2.998341;0.312109;-0.199799;3.395955
3.610000;8.698627;6.644329;3.001452;0.310114;-0.199108;3.385783
3.620000;8.765220;6.674359;3.004543;0.308127;-0.198418;3.375641
3.630000;8.832114;6.704419;3.007615;0.306146;-0.197731;3.365529
3.640000;8.899309;6.734511;3.010666;0.304172;-0.197047;3.355447
3.650000;8.966804;6.764633;3.013698;0.302205;-0.196364;3.345396
3.660000;9.034601;6.794785;3.016710;0.300245;-0.195683;3.335375
3.670000;9.102700;6.824967;3.019703;0.298291;-0.195005;3.325384
